# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
1000 -20.7011 726770 40.1226 27.0927 668.598 -105115 53422 144.85 215.929 -422.883
2000 -1.51615 728618 40.2968 27.2813 662.772 -105267 53430.8 -8.81588 13.3747 -9.10724
3000 -7.19001 729037 40.3334 27.3141 661.756 -105205 53449.2 -7.86045 -8.06268 -5.64692
4000 22.7325 728631 40.2692 27.3743 660.986 -105240 53414.9 44.6718 0.684128 22.8417
5000 -2.69978 728761 40.3689 27.3259 660.637 -105242 53437.6 -22.4733 5.24585 9.12814
6000 1.48437 728424 40.3087 27.3414 660.944 -105274 53420.3 25.0797 -11.4809 -9.14573
7000 8.12461 727708 40.3445 27.304 660.613 -105203 53494.2 7.83226 11.6948 4.84678
8000 -12.8007 728387 40.3514 27.3122 660.917 -105118 53483 -42.3095 18.2524 -14.3451
9000 4.2619 728172 40.2327 27.4114 660.272 -105431 53390.9 0.856075 -2.92374 14.8534
10000 -0.0525077 728236 40.2523 27.3791 660.788 -105451 53407.2 12.8603 19.1809 -32.1987
11000 12.6481 727658 40.2122 27.4049 660.301 -105352 53446.7 17.0107 2.55537 18.3782
12000 -22.3919 728408 40.2271 27.4249 660.253 -105278 53455.9 -24.8526 -22.9062 -19.4169
13000 17.4577 727332 40.1693 27.4255 660.214 -105528 53380.7 18.1066 17.1156 17.151
14000 -8.45127 728360 40.2488 27.4147 660.102 -105143 53457.3 -11.4234 4.14274 -18.0732
15000 8.86736 728451 40.3053 27.4092 659.388 -105154 53468.3 -7.00517 -4.84813 38.4554
16000 15.4884 728011 40.2938 27.3872 659.709 -105179 53510.5 28.2097 30.9464 -12.6909
17000 -17.5027 728763 40.3252 27.4276 658.904 -105139 53417 -20.1442 -39.2433 6.87949
18000 6.00112 728970 40.32 27.417 659.432 -105156 53429.4 -13.8576 8.21671 23.6443
19000 -2.84688 728701 40.2678 27.4494 659.262 -105187 53463 16.7368 4.1985 -29.4759
20000 14.6832 728289 40.3036 27.4503 658.282 -105246 53412.2 -12.1789 26.5369 29.6915
21000 -1.24059 727925 40.207 27.4631 659.229 -105171 53442.9 32.0817 -24.7049 -11.0986
