# Time-averaged data for fix myglobalout1
# TimeStep v_ttime v_ppress v_vvol v_ppe v_kke v_ppx v_ppy v_ppz
1000 101 8173.94 730228 -76440.4 51324.9 8902.67 9975.09 5644.05
2000 301 4667.25 730228 -88742.5 59861.1 5388.65 6739.08 1874.02
3000 501 3416.1 730228 -93864 57725.6 4258.35 5397.64 592.322
4000 701 2647.69 730228 -97656.6 55602.3 3596.04 4312.09 34.9426
5000 901 2484.73 730228 -100702 54437.8 3450.21 3905.72 98.2489
6000 1101 2159.51 730228 -102365 53971.6 3268.74 3615.94 -406.153
7000 1301 2222.05 730228 -103128 54267.3 3361.73 3617.54 -313.123
8000 1501 2191.73 730228 -104060 54241.7 3163.76 3581.64 -170.204
9000 1701 1893.22 730228 -105008 54018 2872.29 3254.46 -447.088
10000 1901 1686.59 730228 -105169 54143.2 2713.47 3083.67 -737.372
11000 2505 1432.95 730228 -105980 54208.5 2461.84 2773.33 -936.324
12000 3505 1082.44 730228 -107564 54155.7 2134.92 2434.54 -1322.14
13000 4505 838.869 730228 -108633 54254.2 1836.83 2174.51 -1494.74
14000 5505 590.439 730228 -109539 54150.3 1619.87 1899.86 -1748.41
15000 6505 430.932 730228 -110287 54189.7 1453.62 1719.99 -1880.81
16000 7505 273.185 730228 -110870 54168.1 1266.82 1554.52 -2001.79
17000 8505 265.335 730228 -111437 54178.2 1256.46 1525.08 -1985.53
18000 9505 136.201 730228 -112036 54184 1093.83 1463.79 -2149.02
19000 10505 93.1582 730228 -112302 54204.1 1096.34 1409.18 -2226.04
20000 11505 23.0754 730228 -112746 54149.7 1037.14 1343.68 -2311.6
21000 12505 26.0582 730228 -112764 54278.1 965.13 1332.85 -2219.8
22000 13505 -110.383 730228 -113113 54181.6 835.484 1183.77 -2350.4
23000 14505 -124.464 730228 -113374 54131.3 831.866 1152.08 -2357.34
24000 15505 -101.96 730228 -113721 54171.4 817.599 1094.02 -2217.5
25000 16505 -133.998 730228 -113830 54129.3 739.178 1094.62 -2235.8
26000 17505 -182.256 730228 -114125 54044.5 643.116 1011.66 -2201.54
27000 18505 -272.742 730228 -114119 54178 642.749 869.329 -2330.3
28000 19505 -211.316 730228 -114375 54129.6 726.214 939.203 -2299.37
29000 20505 -163.133 730228 -114491 54147 687.813 1053.66 -2230.87
30000 21505 -180.639 730228 -114683 54105.4 669.2 1059.03 -2270.14
31000 22505 -177.583 730228 -114629 54249.4 663.867 1043.93 -2240.54
32000 23505 -312.155 730228 -114801 54139.5 557.641 902.405 -2396.51
33000 24505 -301.557 730228 -114791 54248.1 504.795 936.545 -2346.01
34000 25505 -342.766 730228 -114973 54178.9 494.745 888.151 -2411.19
35000 26505 -245.176 730228 -115046 54167.7 687.086 912.655 -2335.27
36000 27505 -341.692 730228 -115091 54118.4 589.986 820.923 -2435.99
37000 28505 -302.353 730228 -115152 54164.7 630.219 828.309 -2365.59
38000 29505 -335.421 730228 -114999 54203.6 607.113 840.385 -2453.76
39000 30505 -340.911 730228 -115250 54099.2 600.46 849.054 -2472.25
40000 31505 -334.251 730228 -115284 54158.1 587.041 891.029 -2480.82
41000 32505 -373.547 730228 -115233 54203.6 496.749 846.872 -2464.26
42000 33505 -342.971 730228 -115447 54212.9 547.372 832.82 -2409.11
43000 34505 -322.792 730228 -115567 54159.8 570.464 815.984 -2354.82
44000 35505 -414.631 730228 -115564 54186.6 505.177 808.373 -2557.44
45000 36505 -249.8 730228 -115475 54258.2 641.21 936.067 -2326.68
46000 37505 -239.129 730228 -115572 54174.5 629.243 956.051 -2302.68
47000 38505 -344.846 730228 -115525 54150.3 485.823 886.777 -2407.14
48000 39505 -312.177 730228 -115489 54139.9 562.266 871.992 -2370.79
49000 40505 -258.478 730228 -115577 54250.1 576.876 918.018 -2270.33
50000 41505 -344.123 730228 -115764 54068.1 549.389 815.106 -2396.86
51000 42505 -371.592 730228 -115679 54156.3 457.988 800.999 -2373.76
52000 43505 -394.622 730228 -115777 54094.6 461.184 783.127 -2428.18
53000 44505 -359.165 730228 -115857 54149.7 507.43 844.19 -2429.11
54000 45505 -341.1 730228 -116036 54092.8 556.082 844.982 -2424.37
55000 46505 -398.047 730228 -115963 54141.7 518.763 748.983 -2461.89
56000 47505 -455.837 730228 -115969 54129.3 450.184 720.779 -2538.47
57000 48505 -316.02 730228 -115997 54183.1 609.839 810.055 -2367.95
58000 49505 -436.379 730228 -116057 54121.1 475.87 735.684 -2520.69
