# Time-averaged data for fix myglobalout1
# TimeStep v_ttime v_ppress v_vvol v_ppe v_kke v_ppx v_ppy v_ppz
1000 101 12693.2 730228 -132633 41864.4 13344.7 14710.9 10023.9
2000 301 10690 730228 -136062 53589.1 11541.4 12680.1 7848.35
3000 501 10325 730228 -134002 58625.8 11159.5 12259.5 7556.08
4000 701 10168.2 730228 -133199 60573.6 11178.2 11812.2 7514.07
5000 901 9416.75 730228 -135183 59812.7 10717.6 10927.8 6604.86
6000 1101 9211.5 730228 -136870 59448.4 10461.3 10648.5 6524.64
7000 1301 8794.91 730228 -137636 59822.5 9819.24 10463.5 6102.01
8000 1501 8577.86 730228 -138615 59667.3 9635.29 10111 5987.32
9000 1701 8279.96 730228 -139388 59583.7 9354.74 9772.07 5713.09
10000 1901 8163.64 730228 -139716 59768.3 9280.34 9686.4 5524.16
11000 2505 7823.76 730228 -140822 59664.3 8978.05 9279.08 5214.16
12000 3505 7456.06 730228 -142528 59703.6 8707.2 8859.81 4801.15
13000 4505 7157.85 730228 -143488 59684.9 8282.12 8556.57 4634.85
14000 5505 7025.47 730228 -144285 59751.1 8161.87 8370.96 4543.57
15000 6505 6874 730228 -144942 59709.5 7974.3 8213.24 4434.45
16000 7505 6710.41 730228 -145469 59685.5 7774.7 8072.03 4284.49
17000 8505 6568.99 730228 -145920 59652.3 7662.68 7958.94 4085.35
18000 9505 6481 730228 -146191 59707 7583.2 7882.81 3977
19000 10505 6475.15 730228 -146552 59694.8 7494.58 7809.98 4120.89
20000 11505 6333.01 730228 -146963 59756.5 7294.96 7694.26 4009.8
21000 12505 6366.03 730228 -147121 59734 7375.95 7674.4 4047.75
22000 13505 6244.23 730228 -147541 59676 7250.86 7584.84 3897
23000 14505 6344.06 730228 -147546 59709.8 7335.98 7622.19 4073.99
24000 15505 6334.86 730228 -147586 59678.5 7282.24 7630.99 4091.34
25000 16505 6244.34 730228 -147815 59679 7252.18 7525.76 3955.09
26000 17505 6246.49 730228 -147945 59625.9 7214 7569.46 3956.01
27000 18505 6179.61 730228 -147872 59668.2 7156.64 7433.3 3948.9
28000 19505 6158.06 730228 -148177 59628.4 7173.34 7425.79 3875.06
29000 20505 6232.64 730228 -148371 59654.3 7265.77 7472.46 3959.71
