# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
1000 -577.131 730228 39.97 26.95 677.9 -105587 53462.6 66.7596 155.873 -1954.03
2000 -635.144 730228 39.97 26.95 677.9 -105569 53509.2 -16.1253 113.34 -2002.65
3000 -558.804 730228 39.97 26.95 677.9 -105788 53443.4 94.4332 174.694 -1945.54
4000 -631.035 730228 39.97 26.95 677.9 -105792 53448.3 82.2594 59.4492 -2034.81
5000 -605.585 730228 39.97 26.95 677.9 -106165 53287.2 84.4613 116.046 -2017.26
6000 -690.94 730228 39.97 26.95 677.9 -105835 53403.9 -34.626 62.758 -2100.95
7000 -662.685 730228 39.97 26.95 677.9 -105843 53447.7 -8.17293 58.5606 -2038.44
8000 -663.042 730228 39.97 26.95 677.9 -105800 53455.5 -10.0554 70.979 -2050.05
9000 -638.909 730228 39.97 26.95 677.9 -106034 53295.8 73.6206 24.5152 -2014.86
10000 -707.333 730228 39.97 26.95 677.9 -105974 53394.5 -76.0594 -11.9436 -2033.99
11000 -733.665 730228 39.97 26.95 677.9 -105814 53460 -30.8409 -73.3911 -2096.76
12000 -619.862 730228 39.97 26.95 677.9 -105785 53421.6 89.7793 14.5125 -1963.88
13000 -655.487 730228 39.97 26.95 677.9 -105601 53492.6 -9.97487 29.2628 -1985.75
14000 -722.109 730228 39.97 26.95 677.9 -105718 53562.6 -60.2985 19.9488 -2125.98
15000 -683.449 730228 39.97 26.95 677.9 -105906 53470.8 -73.1109 32.5456 -2009.78
16000 -591.33 730228 39.97 26.95 677.9 -105990 53431.3 7.98777 122.795 -1904.77
17000 -663.279 730228 39.97 26.95 677.9 -106061 53468.4 -45.6522 37.7799 -1981.96
18000 -724.647 730228 39.97 26.95 677.9 -106341 53303 -114.77 -13.765 -2045.41
19000 -566.55 730228 39.97 26.95 677.9 -105867 53475.5 94.6999 94.0034 -1888.35
20000 -685.106 730228 39.97 26.95 677.9 -105799 53424.1 -75.4637 5.63631 -1985.49
21000 -619.836 730228 39.97 26.95 677.9 -106078 53326.6 -7.34299 55.1551 -1907.32
22000 -710.832 730228 39.97 26.95 677.9 -105959 53375.2 -79.9764 11.5007 -2064.02
23000 -665.441 730228 39.97 26.95 677.9 -105883 53454.1 -17.3932 -22.8117 -1956.12
24000 -622.232 730228 39.97 26.95 677.9 -105960 53481.3 -8.77352 149.342 -2007.27
25000 -678.721 730228 39.97 26.95 677.9 -105959 53382.6 -68.3094 90.5599 -2058.41
26000 -646.783 730228 39.97 26.95 677.9 -106114 53338.3 -48.8321 -21.873 -1869.64
27000 -685.336 730228 39.97 26.95 677.9 -106143 53358.4 -72.8032 19.3423 -2002.55
28000 -629.787 730228 39.97 26.95 677.9 -105917 53501 -85.9242 131.582 -1935.02
29000 -564.728 730228 39.97 26.95 677.9 -106075 53466.6 31.1658 167.08 -1892.43
30000 -593.651 730228 39.97 26.95 677.9 -106117 53428 18.4522 124.898 -1924.3
31000 -578.946 730228 39.97 26.95 677.9 -106243 53443.6 48.3836 77.4192 -1862.64
32000 -561.602 730228 39.97 26.95 677.9 -106233 53370.7 59.9508 103.224 -1847.98
33000 -555.618 730228 39.97 26.95 677.9 -106246 53351.9 58.7666 127.829 -1853.45
34000 -581.606 730228 39.97 26.95 677.9 -106169 53432.6 -32.3986 109.25 -1821.67
35000 -683.927 730228 39.97 26.95 677.9 -105888 53549.6 -159.074 90.1734 -1982.88
36000 -651.692 730228 39.97 26.95 677.9 -106008 53440.9 -90.1979 14.9474 -1879.83
37000 -721.894 730228 39.97 26.95 677.9 -106008 53509.8 -99.1903 21.8924 -2088.38
38000 -658.921 730228 39.97 26.95 677.9 -105985 53417.7 -73.4797 86.8734 -1990.16
39000 -672.964 730228 39.97 26.95 677.9 -105991 53471.1 -57.1395 6.06771 -1967.82
40000 -662.192 730228 39.97 26.95 677.9 -106157 53382.1 -84.6738 79.3665 -1981.27
41000 -616.776 730228 39.97 26.95 677.9 -106319 53257.8 -47.1827 140.476 -1943.62
42000 -602.247 730228 39.97 26.95 677.9 -106034 53445 -32.1428 135.855 -1910.45
43000 -671.309 730228 39.97 26.95 677.9 -105952 53443.7 -74.0329 45.346 -1985.24
44000 -645.773 730228 39.97 26.95 677.9 -105845 53528.6 -72.0559 23.4631 -1888.73
45000 -596.597 730228 39.97 26.95 677.9 -105976 53437.5 -89.17 121.836 -1822.46
46000 -644.576 730228 39.97 26.95 677.9 -105838 53529.2 -96.6661 101.146 -1938.21
47000 -654.148 730228 39.97 26.95 677.9 -105960 53457.3 -63.5611 42.2789 -1941.16
48000 -622.874 730228 39.97 26.95 677.9 -105939 53482.3 -14.2415 57.1544 -1911.54
49000 -677.243 730228 39.97 26.95 677.9 -105825 53504.7 -64.1832 9.60342 -1977.15
50000 -636.451 730228 39.97 26.95 677.9 -105915 53514.1 19.4674 23.7296 -1952.55
51000 -603.058 730228 39.97 26.95 677.9 -105862 53411.1 23.3922 47.0787 -1879.64
52000 -669.696 730228 39.97 26.95 677.9 -105969 53373.1 -1.31156 -40.3665 -1967.41
53000 -644.891 730228 39.97 26.95 677.9 -105893 53480.5 -12.042 -41.4714 -1881.16
54000 -622.908 730228 39.97 26.95 677.9 -105881 53488.8 3.70566 79.6621 -1952.09
55000 -645.399 730228 39.97 26.95 677.9 -105841 53433.4 -12.9892 25.7113 -1948.92
56000 -679.657 730228 39.97 26.95 677.9 -105919 53409.2 -77.9365 -5.286 -1955.75
57000 -661.021 730228 39.97 26.95 677.9 -105852 53528.9 -3.70527 -34.0248 -1945.33
58000 -626.495 730228 39.97 26.95 677.9 -105985 53400.2 0.227868 53.7801 -1933.49
59000 -612.297 730228 39.97 26.95 677.9 -105872 53513.7 41.791 23.6222 -1902.3
60000 -715.66 730228 39.97 26.95 677.9 -105851 53438.4 -82.4166 -43.2571 -2021.31
61000 -637.378 730228 39.97 26.95 677.9 -105671 53449.9 -40.9345 45.2957 -1916.49
62000 -638.712 730228 39.97 26.95 677.9 -105954 53460.2 0.65926 35.3209 -1952.12
63000 -671.605 730228 39.97 26.95 677.9 -105560 53499.8 -81.5873 41.4654 -1974.69
64000 -644.169 730228 39.97 26.95 677.9 -105840 53468.5 -43.1346 20.801 -1910.17
65000 -661.005 730228 39.97 26.95 677.9 -105715 53436.7 -77.4469 50.9551 -1956.52
66000 -667.286 730228 39.97 26.95 677.9 -105937 53457.4 -38.4624 58.2359 -2021.63
67000 -558.193 730228 39.97 26.95 677.9 -105996 53386.5 30.349 174.124 -1879.05
68000 -612.528 730228 39.97 26.95 677.9 -105847 53512.4 4.50943 99.7282 -1941.82
69000 -681.677 730228 39.97 26.95 677.9 -105722 53431.2 -61.3971 -46.9232 -1936.71
70000 -653.317 730228 39.97 26.95 677.9 -105789 53375 3.79478 81.4273 -2045.17
71000 -675.701 730228 39.97 26.95 677.9 -105716 53426.3 -46.6252 34.5813 -2015.06
72000 -648.889 730228 39.97 26.95 677.9 -105737 53462.9 -29.4347 62.0876 -1979.32
73000 -626.316 730228 39.97 26.95 677.9 -105848 53403.8 -56.3762 117.322 -1939.89
74000 -687.61 730228 39.97 26.95 677.9 -105753 53530.8 -68.4408 51.7564 -2046.15
75000 -636.589 730228 39.97 26.95 677.9 -105876 53400.4 23.8347 33.559 -1967.16
76000 -666.902 730228 39.97 26.95 677.9 -105696 53411.5 -65.1691 7.35751 -1942.89
77000 -545.31 730228 39.97 26.95 677.9 -105865 53338.8 89.5715 152.009 -1877.51
78000 -595.019 730228 39.97 26.95 677.9 -105729 53434.3 -50.0828 142.49 -1877.46
79000 -645.707 730228 39.97 26.95 677.9 -105581 53447.7 -101.718 62.9413 -1898.34
80000 -597.539 730228 39.97 26.95 677.9 -105594 53515.6 -2.46304 181.848 -1972
81000 -594.51 730228 39.97 26.95 677.9 -106025 53395.8 -11.8282 117.471 -1889.17
82000 -589.381 730228 39.97 26.95 677.9 -105927 53411.5 -7.08798 106.375 -1867.43
83000 -580.992 730228 39.97 26.95 677.9 -105901 53468.9 -6.29305 88.894 -1825.58
84000 -609.85 730228 39.97 26.95 677.9 -105875 53496.7 -78.7079 159.998 -1910.84
85000 -615.283 730228 39.97 26.95 677.9 -105981 53331.4 -85.773 105.265 -1865.34
86000 -606.225 730228 39.97 26.95 677.9 -105855 53467.1 -31.7147 102.526 -1889.49
87000 -644.397 730228 39.97 26.95 677.9 -105588 53555.5 -35.477 40.4536 -1938.17
88000 -613.094 730228 39.97 26.95 677.9 -106008 53402.2 35.0018 38.7813 -1913.07
89000 -544.748 730228 39.97 26.95 677.9 -105894 53437.6 117.008 61.0886 -1812.34
90000 -701.048 730228 39.97 26.95 677.9 -105878 53449.7 -111.005 24.779 -2016.92
91000 -630.293 730228 39.97 26.95 677.9 -105958 53372.1 -79.8476 104.96 -1915.99
92000 -625.105 730228 39.97 26.95 677.9 -105958 53310 -22.0933 69.855 -1923.08
93000 -639.106 730228 39.97 26.95 677.9 -105823 53422.8 7.66592 -44.5118 -1880.47
94000 -611.467 730228 39.97 26.95 677.9 -105815 53435 -9.2108 64.0105 -1889.2
95000 -607.183 730228 39.97 26.95 677.9 -106016 53332.7 -48.26 84.1309 -1857.42
96000 -647.526 730228 39.97 26.95 677.9 -105661 53523.1 -83.7302 36.1508 -1895
97000 -677.028 730228 39.97 26.95 677.9 -105938 53446.4 -46.1651 10.8534 -1995.77
98000 -581.24 730228 39.97 26.95 677.9 -106003 53312.7 33.6663 43.8593 -1821.25
99000 -624.427 730228 39.97 26.95 677.9 -105807 53439.6 -21.3627 27.8143 -1879.73
100000 -556.024 730228 39.97 26.95 677.9 -105739 53373.5 33.6522 90.6435 -1792.37
101000 -581.121 730228 39.97 26.95 677.9 -105542 53484.4 -39.9312 136.293 -1839.72
102000 -692.371 730228 39.97 26.95 677.9 -105707 53500.7 -82.3624 -9.91526 -1984.84
103000 -499.236 730228 39.97 26.95 677.9 -105731 53439.1 111.099 202.743 -1811.55
104000 -601.026 730228 39.97 26.95 677.9 -105793 53347.5 13.7039 110.176 -1926.96
105000 -628.292 730228 39.97 26.95 677.9 -105807 53432 20.6811 29.4368 -1934.99
106000 -605.231 730228 39.97 26.95 677.9 -105754 53466.5 41.5936 62.298 -1919.58
107000 -562.033 730228 39.97 26.95 677.9 -105798 53390.4 98.2513 80.4966 -1864.85
108000 -549.851 730228 39.97 26.95 677.9 -105766 53477.4 121.755 54.0702 -1825.38
109000 -697.998 730228 39.97 26.95 677.9 -105804 53434.9 -93.2121 18.1804 -2018.96
110000 -715.523 730228 39.97 26.95 677.9 -105886 53378.8 -143.878 -34.3222 -1968.37
111000 -682.276 730228 39.97 26.95 677.9 -105739 53432 -99.0478 20.4928 -1968.27
112000 -608.686 730228 39.97 26.95 677.9 -105784 53455.4 -50.9612 91.9547 -1867.05
113000 -603.06 730228 39.97 26.95 677.9 -105839 53418.9 -2.34446 49.6157 -1856.45
114000 -600.978 730228 39.97 26.95 677.9 -105731 53418.3 19.5553 68.5276 -1891.02
115000 -685.702 730228 39.97 26.95 677.9 -105730 53454.5 -64.934 13.1102 -2005.28
